name,title,url_link,online
TIMES NOW,"Germany Coup Live : 3000 Cops Conduct Raids Over Anti-Govt Coup Plan, Several Arrested | World News",https://www.youtube.com//watch?v=MKrhWy_YUlo,
MBCNEWS,28골 쏟아졌다..16강 경기 H/L[카타르NOW] (mbc뉴스 2022. 12. 07),https://www.youtube.com//watch?v=y7l93zCSLwY,실시간
TIMES NOW,"Putin Vs Zelenskyy War Live: Ukraine Attacks Russian Airfields, Targets Long-Range Strategic Bombers",https://www.youtube.com//watch?v=i57vUOfjvdQ,
TIMES NOW,Turkey News Live: Oil Tanker Traffic Jam Forms In Turkey After Russian Price Cap,https://www.youtube.com//watch?v=D6-o1fDpwpQ,
CBS News,"LIVE: Latest News, Breaking Stories and Analysis on December 7 | CBS News",https://www.youtube.com//watch?v=jp5dwZBpQsY,
TIMES NOW,Ukraine War Live: Suspicious Packages Reach 15 Countries Amid Russia's 'Campaign Of Terror',https://www.youtube.com//watch?v=szZqqkaiJFg,
India Today,MCD Election Counting LIVE: BJP Vs AAP In Delhi | MCD Election Counting | MCD Election Results LIVE,https://www.youtube.com//watch?v=wKwMGW96nFE,
WION,Russia-Ukraine war live: US reacts to strikes inside Russia as third Russian airbase attacked | WION,https://www.youtube.com//watch?v=W113yYcMcvw,
TIMES NOW,Ukraine War Live : Zelenskyy Visits Troops Near Front Line After Putin Drives Across Crimea Bridge,https://www.youtube.com//watch?v=TpP-whC3H7U,
TIMES NOW,Ex-Albanian President Punched Live | Sali Berisha Left With Black Eye During Anti-Govt Protest,https://www.youtube.com//watch?v=ltMzlYKFfDY,
Reuters,LIVE: Protests in Lima after Peruvian President Pedro Castillo dissolves Congress,https://www.youtube.com//watch?v=FJZlBSnLkMw,
TIMES NOW,Russia War Update Live : Putin Drives Mercedes Across Crimea Bridge Damaged During Ukraine War,https://www.youtube.com//watch?v=6bBfTdLwiw8,
CNN-News18,Senator Tred Cruz Accuses US President Joe Biden Of Corruption | USA News | English News Live,https://www.youtube.com//watch?v=qKmA8gaLAoA,
KBS News,"[LIVE] 언제, 어디서나 KBS NEWS D",https://www.youtube.com//watch?v=TnByeBRsWZ8,실시간
CNN-News18,Ukrainian President Zelenskyy Awards Ukrainian Prisoners Who Returned From Russia | News18 Live,https://www.youtube.com//watch?v=olV_mgBN7B0,
Law&Crime Network,Watch Live: TX v. Aaron Dean Trial  - Death of Atatiana Jefferson -  Day Three Part Two,https://www.youtube.com//watch?v=GPSsj9BwvTY,
India Today,Live Now: Rajdeep Sardesai & Rahul Kanwal’s Deep Analysis Of MCD Polls Results 2022,https://www.youtube.com//watch?v=EWCLzcErWsc,
